complaint_text,department,sentiment
Water supply delayed daily,Water,Negative
Rusty water coming from tap,Water,Negative
Public water tap not working,Water,Negative
Water meter damaged,Water,Neutral
Minor water leakage near pipeline,Water,Neutral
Water supply slightly delayed today,Water,Neutral
Water pressure normal but slightly low,Water,Neutral
Small issue in water timing,Water,Neutral
Water available but pressure reduced,Water,Neutral
Routine pipeline maintenance observed,Water,Neutral
Small leakage near water tank,Water,Neutral
Minor water interruption near colony,Water,Neutral
Water flow slower than usual,Water,Neutral
Water supply restored quickly,Water,Positive
Pipeline repaired successfully,Water,Positive
Clean water supply resumed,Water,Positive
Water issue fixed near society,Water,Positive
Water tanker arrived on time,Water,Positive
No water supply near railway station,Water,Critical
Water contaminated with sewage smell,Water,Critical
Broken water pipe near market area,Water,Critical
No drinking water in locality for two days,Water,Critical
Severe water shortage near school,Water,Critical
Dirty muddy water from tap,Water,Critical
Public water line damaged badly,Water,Critical
Water supply stopped without notice,Water,Critical
Underground pipeline burst near bridge,Water,Critical
No water in hospital washrooms,Water,Critical
Water contamination causing stomach problems,Water,Critical
Major water leakage wasting resources,Water,Critical
No clean water in slum area,Water,Critical
Water tank damaged near colony,Water,Critical
Pipeline crack reducing supply,Water,Critical
Tap water unsafe for drinking,Water,Critical
No emergency water support provided,Water,Critical
Drinking water unavailable for residents,Water,Critical
Water issue becoming severe daily,Water,Critical
Contaminated tap water affecting health,Water,Critical
Water pressure very low near station,Water,Negative
Frequent interruption in water supply,Water,Negative
Water tanker delayed again,Water,Negative
Poor quality water near market,Water,Negative
Water supply available for short duration,Water,Negative
Low pressure on upper floors,Water,Negative
Tap water slightly dirty,Water,Negative
Pipeline repair work incomplete,Water,Negative
Irregular water timing in society,Water,Negative
Water flowing slowly from taps,Water,Negative
Minor leakage near water valve,Water,Negative
Water department responding slowly,Water,Negative
Tap issue unresolved near school,Water,Negative
Water pressure dropping every evening,Water,Negative
Slight contamination in tap water,Water,Negative
Water supply weak near colony,Water,Negative
Small water delay in morning,Water,Neutral
Water available with slightly low pressure,Water,Neutral
Routine water maintenance happening,Water,Neutral
Small leakage repaired quickly,Water,Neutral
Water flow stable after repair,Water,Neutral
Minor supply issue fixed,Water,Neutral
Water supply resumed after interruption,Water,Neutral
Slight drop in pressure today,Water,Neutral
Water tank maintenance observed,Water,Neutral
Clean water restored near school,Water,Positive
Water pipeline repaired successfully,Water,Positive
Good water supply after complaint,Water,Positive
Water quality improved significantly,Water,Positive
Regular water supply restored,Water,Positive
No water supply near railway station,Water,Critical
Water contaminated with sewage smell,Water,Critical
Broken water pipe near market area,Water,Critical
No drinking water in locality for two days,Water,Critical
Severe water shortage near school,Water,Critical
Dirty muddy water from tap,Water,Critical
Public water line damaged badly,Water,Critical
Water supply stopped without notice,Water,Critical
Underground pipeline burst near bridge,Water,Critical
No water in hospital washrooms,Water,Critical
Water contamination causing stomach problems,Water,Critical
Major water leakage wasting resources,Water,Critical
No clean water in slum area,Water,Critical
Water tank damaged near colony,Water,Critical
Pipeline crack reducing supply,Water,Critical
Tap water unsafe for drinking,Water,Critical
No emergency water support provided,Water,Critical
Drinking water unavailable for residents,Water,Critical
Water issue becoming severe daily,Water,Critical
Contaminated tap water affecting health,Water,Critical
Water pressure very low near station,Water,Negative
Frequent interruption in water supply,Water,Negative
Water tanker delayed again,Water,Negative
Poor quality water near market,Water,Negative
Water supply available for short duration,Water,Negative
Low pressure on upper floors,Water,Negative
Tap water slightly dirty,Water,Negative
Pipeline repair work incomplete,Water,Negative
Irregular water timing in society,Water,Negative
Water flowing slowly from taps,Water,Negative
Minor leakage near water valve,Water,Negative
Water department responding slowly,Water,Negative
Tap issue unresolved near school,Water,Negative
Water pressure dropping every evening,Water,Negative
Slight contamination in tap water,Water,Negative
Water supply weak near colony,Water,Negative
Small water delay in morning,Water,Neutral
Water available with slightly low pressure,Water,Neutral
Routine water maintenance happening,Water,Neutral
Small leakage repaired quickly,Water,Neutral
Water flow stable after repair,Water,Neutral
Minor supply issue fixed,Water,Neutral
Water supply resumed after interruption,Water,Neutral
Slight drop in pressure today,Water,Neutral
Water tank maintenance observed,Water,Neutral
Clean water restored near school,Water,Positive
Water pipeline repaired successfully,Water,Positive
Good water supply after complaint,Water,Positive
Water quality improved significantly,Water,Positive
Regular water supply restored,Water,Positive
Water pipeline repaired successfully near market,Water,Positive
Water leakage issue fixed completely,Water,Positive
Clean water supply restored quickly,Water,Positive
Water department solved issue fast,Water,Positive
Pipeline repaired and water supply resumed,Water,Positive
Water pressure improved after repair,Water,Positive
Broken pipe repaired successfully,Water,Positive
Water supply problem resolved,Water,Positive
Fresh clean water available after repair,Water,Positive
Water tank cleaned and repaired,Water,Positive
Water service improved significantly,Water,Positive
Water complaint fixed successfully,Water,Positive
Good water pressure after maintenance,Water,Positive
Water line repaired near colony,Water,Positive
Water issue solved by department,Water,Positive
Water flow restored after repair,Water,Positive
Residents satisfied with water service,Water,Positive
Pipeline maintenance completed properly,Water,Positive
Water problem resolved near society,Water,Positive
Water quality improved after repair,Water,Positive
complaint_text,sentiment
Water pipeline repaired successfully,Positive
Water supply restored in our locality,Positive
Clean water available after maintenance,Positive
Water issue solved quickly by department,Positive
Pipeline repaired near our society,Positive
Water pressure improved after repair,Positive
Fresh water supply resumed,Positive
Broken water pipe repaired successfully,Positive
Water complaint resolved properly,Positive
Water tank cleaned successfully,Positive
Water service improved significantly,Positive
Good water pressure after maintenance,Positive
Water leakage fixed completely,Positive
Residents satisfied with water service,Positive
Water supply restored after repair work,Positive
